id_pedido;fecha_pedido;id_cliente;id_producto;unidades;canal;transportista;prioridad;distancia_km;dias_prometidos;stock_al_pedido;coste_envio;importe_pedido;fecha_entrega_prevista;fecha_entrega_real;entrega_tarde
50043;30/04/2025;10253;20070;5;App;Rapidex;Normal;391;2;34;13,05;1710,9;02/05/2025;06/05/2025;1
50044;03/05/2025;10235;20049;5;App;Rapidex;Normal;462;1;11;11,5;666,1;04/05/2025;06/05/2025;1
50045;27/09/2025;10057;20060;4;Web;Blueship;Normal;226;5;10;12,01;598,2;02/10/2025;02/10/2025;0
50046;13/05/2026;10058;20052;4;App;Gopack;Normal;50;2;24;5,31;263,44;15/05/2026;15/05/2026;0
50047;10/01/2025;10258;20036;4;Tienda;Transnova;Alta;383;2;13;9,81;992,8;12/01/2025;12/01/2025;0
50048;08/02/2025;10106;20029;2;Web;Rapidex;Normal;290;1;16;6,94;89,5;09/02/2025;09/02/2025;0
50049;02/02/2025;10007;20063;2;Web;Blueship;Normal;76;1;4;6,81;473,1;03/02/2025;06/02/2025;1
50050;01/06/2025;10041;20002;5;Tienda;Blueship;Normal;357;4;12;8,38;502,3;05/06/2025;07/06/2025;1
50051;14/04/2025;10085;20045;3;Tienda;Transnova;Normal;582;5;30;15,16;854,58;19/04/2025;19/04/2025;0
50052;20/07/2025;10168;20065;5;Web;Blueship;Normal;143;1;1;11,07;728,1;21/07/2025;23/07/2025;1
50053;15/01/2026;10244;20066;2;Web;Rapidex;Normal;263;1;28;8,1;631,98;16/01/2026;16/01/2026;0
50054;06/11/2025;10047;20048;5;Web;Transnova;Normal;79;1;1;5,9;1198,7;07/11/2025;07/11/2025;0
50055;28/04/2025;10135;20055;1;Tienda;Rapidex;Alta;232;2;12;9,65;384,25;30/04/2025;30/04/2025;0
50056;25/08/2025;10095;20060;2;Tienda;Blueship;Normal;682;1;14;9,82;299,1;26/08/2025;29/08/2025;1
50057;04/08/2025;10130;20010;5;Web;Blueship;Normal;54;3;9;8,83;905,75;07/08/2025;07/08/2025;0
50058;17/11/2025;10087;20039;3;Web;Gopack;Alta;369;3;2;8,02;295,5;20/11/2025;26/11/2025;1
50059;05/05/2025;10194;20001;5;Tienda;Rapidex;Normal;498;3;24;15,38;1030,8;08/05/2025;08/05/2025;0
50060;01/03/2025;10161;20026;1;Web;Blueship;Normal;564;2;17;11,99;57,81;03/03/2025;07/03/2025;1
50061;18/05/2026;10182;20017;2;App;Rapidex;Normal;522;3;20;9,72;90,52;21/05/2026;22/05/2026;1
50062;20/11/2025;10094;20011;1;App;Rapidex;Normal;523;1;22;6;331,2;21/11/2025;26/11/2025;1
50063;16/06/2025;10076;20056;2;Tienda;Blueship;Normal;491;2;21;9,7;183,94;18/06/2025;19/06/2025;1
50064;16/11/2025;10033;20003;2;App;Blueship;Normal;529;3;31;7,89;510,84;19/11/2025;24/11/2025;1
50065;31/07/2025;10238;20040;2;Web;Gopack;Normal;5;3;7;6,41;409,54;03/08/2025;03/08/2025;0
50066;11/10/2025;10117;20069;2;App;Rapidex;Normal;442;3;0;9,13;592,18;14/10/2025;20/10/2025;1
50067;19/03/2026;10040;20040;3;Web;Transnova;Normal;460;3;19;11,36;614,31;22/03/2026;25/03/2026;1
50068;28/08/2025;10181;20074;2;App;Blueship;Normal;514;2;26;8,01;525,48;30/08/2025;30/08/2025;0
50069;24/02/2025;10217;20054;2;App;Rapidex;Normal;352;2;32;8,06;179,12;26/02/2025;01/03/2025;1
50070;17/10/2025;10114;20046;4;App;Transnova;Alta;316;4;16;11,44;552,04;21/10/2025;21/10/2025;0
50071;30/04/2026;10035;20071;5;Web;Rapidex;Normal;636;5;19;15,72;1469,05;05/05/2026;11/05/2026;1
50072;07/07/2025;10085;20027;1;Web;Transnova;Normal;276;2;33;8,47;114,02;09/07/2025;10/07/2025;1
50073;03/02/2026;10073;20033;4;App;Rapidex;Normal;390;3;37;11,1;644,84;06/02/2026;08/02/2026;1
50074;18/06/2026;10250;20029;2;Tienda;Gopack;Normal;434;2;37;7,96;89,5;20/06/2026;22/06/2026;1
50075;27/05/2025;10034;20034;3;Web;Blueship;Normal;337;3;11;10,62;770,46;30/05/2025;30/05/2025;0
50076;23/12/2025;10015;20025;5;App;Rapidex;Normal;318;3;30;12,03;1609,95;26/12/2025;26/12/2025;0
50077;17/12/2025;10048;20029;3;Tienda;Gopack;Normal;7;4;31;6,55;134,25;21/12/2025;21/12/2025;0
50078;30/05/2025;10241;20072;4;Web;Rapidex;Normal;125;4;10;7,15;1053,72;03/06/2025;03/06/2025;0
50079;07/06/2025;10059;20041;5;Tienda;Rapidex;Normal;542;4;10;12,05;310,85;11/06/2025;16/06/2025;1
50080;04/10/2025;10257;20011;5;Tienda;Rapidex;Alta;120;3;13;7,94;1656;07/10/2025;07/10/2025;0
50081;02/12/2025;10070;20044;5;Tienda;Rapidex;Normal;527;2;26;13,79;440,1;04/12/2025;06/12/2025;1
50082;25/10/2025;10015;20026;1;Web;Gopack;Normal;329;5;37;8,03;57,81;30/10/2025;30/10/2025;0
50083;01/09/2025;10065;20036;5;Web;Blueship;Normal;335;4;0;11,5;1241;05/09/2025;07/09/2025;1
50084;28/10/2025;10043;20042;1;Web;Rapidex;Normal;235;2;15;5,76;188,41;30/10/2025;04/11/2025;1
50085;23/07/2025;10065;20005;3;Web;Rapidex;Normal;95;4;0;6,93;583,8;27/07/2025;27/07/2025;0
50086;13/09/2025;10141;20036;4;Tienda;Blueship;Normal;767;4;0;12,8;992,8;17/09/2025;23/09/2025;1
50087;08/07/2025;10084;20009;3;Web;Blueship;Normal;161;4;7;6,19;1182,09;12/07/2025;12/07/2025;0
50088;24/05/2026;10236;20075;3;Web;Rapidex;Normal;616;1;27;11,98;556,02;25/05/2026;30/05/2026;1
50089;17/06/2025;10240;20020;1;Tienda;Transnova;Normal;498;2;26;8,58;274,51;19/06/2025;21/06/2025;1
50090;23/08/2025;10259;20036;5;App;Transnova;Normal;157;4;22;2,5;1241;27/08/2025;27/08/2025;0
50091;15/02/2025;10171;20016;2;App;Rapidex;Alta;222;4;18;6,95;23,02;19/02/2025;19/02/2025;0
50092;25/04/2025;10130;20007;1;Web;Gopack;Normal;178;1;16;7,91;121,97;26/04/2025;26/04/2025;0
50093;02/09/2025;10189;20036;1;App;Blueship;Normal;590;4;14;12,51;248,2;06/09/2025;09/09/2025;1
50094;17/02/2025;10113;20060;3;App;Rapidex;Normal;418;1;35;13,75;448,65;18/02/2025;18/02/2025;0
50095;05/07/2025;10122;20047;1;Web;Transnova;Normal;9;4;0;2,5;282,41;09/07/2025;09/07/2025;0
50096;10/04/2026;10007;20066;1;Web;Blueship;Normal;467;1;4;10,5;315,99;11/04/2026;15/04/2026;1
50097;12/10/2025;10116;20054;4;Tienda;Transnova;Normal;294;2;36;9,93;358,24;14/10/2025;18/10/2025;1
50098;20/03/2026;10115;20041;2;Tienda;Blueship;Alta;465;5;0;14,18;124,34;25/03/2026;31/03/2026;1
50099;15/11/2025;10002;20037;5;Web;Blueship;Alta;491;3;18;15,09;2058,85;18/11/2025;22/11/2025;1
50100;10/04/2025;10084;20037;3;App;Gopack;Normal;761;1;7;21,1;1235,31;11/04/2025;15/04/2025;1
50101;14/04/2026;10038;20036;1;Tienda;Rapidex;Normal;271;3;36;3,43;248,2;17/04/2026;17/04/2026;0
50102;08/08/2025;10049;20018;3;Web;Rapidex;Normal;398;1;16;11,33;428,04;09/08/2025;09/08/2025;0
50103;22/04/2026;10011;20059;5;Web;Gopack;Normal;232;5;9;7,1;1163,5;27/04/2026;27/04/2026;0
50104;26/10/2025;10076;20019;1;Web;Transnova;Normal;188;4;21;8,93;342,13;30/10/2025;30/10/2025;0
50105;10/02/2025;10133;20017;2;Tienda;Rapidex;Normal;420;3;31;7,29;90,52;13/02/2025;14/02/2025;1
50106;15/04/2025;10203;20006;5;Web;Transnova;Normal;158;5;14;10,85;243,3;20/04/2025;20/04/2025;0
50107;19/10/2025;10098;20065;3;Web;Gopack;Normal;127;2;12;2,5;436,86;21/10/2025;21/10/2025;0
50108;05/09/2025;10108;20067;2;App;Rapidex;Normal;386;2;16;8,92;729,22;07/09/2025;12/09/2025;1
50109;01/01/2026;10208;20006;2;App;Transnova;Normal;574;5;13;13,55;97,32;06/01/2026;08/01/2026;1
50110;29/07/2025;10156;20024;3;App;Transnova;Normal;583;4;16;14,4;622,5;02/08/2025;03/08/2025;1
50111;25/06/2025;10132;20030;2;App;Blueship;Normal;297;4;24;6,33;604,88;29/06/2025;05/07/2025;1
50112;12/02/2026;10085;20020;2;Web;Transnova;Normal;333;5;23;11,19;549,02;17/02/2026;22/02/2026;1
50113;07/02/2026;10253;20057;5;Tienda;Transnova;Normal;449;2;22;13,99;1162,05;09/02/2026;11/02/2026;1
50114;25/11/2025;10013;20010;3;App;Gopack;Normal;67;4;10;10,28;543,45;29/11/2025;29/11/2025;0
50115;07/07/2025;10140;20060;3;Tienda;Gopack;Normal;5;1;9;3,08;448,65;08/07/2025;08/07/2025;0
50116;15/01/2026;10035;20060;5;App;Blueship;Normal;155;2;11;10,06;747,75;17/01/2026;17/01/2026;0
50117;24/05/2025;10141;20032;2;Tienda;Transnova;Normal;80;5;12;6,17;290,74;29/05/2025;30/05/2025;1
50118;01/12/2025;10150;20045;4;Web;Rapidex;Normal;581;4;20;11,17;1139,44;05/12/2025;11/12/2025;1
50119;17/04/2025;10134;20055;4;Web;Transnova;Normal;329;3;14;9,19;1537;20/04/2025;20/04/2025;0
50120;24/04/2026;10056;20041;4;Tienda;Gopack;Normal;113;3;9;7,61;248,68;27/04/2026;27/04/2026;0
50121;14/03/2025;10054;20010;2;Web;Blueship;Alta;5;5;29;5,92;362,3;19/03/2025;19/03/2025;0
50122;11/06/2026;10041;20038;4;App;Transnova;Normal;111;2;16;8,67;521,76;13/06/2026;13/06/2026;0
50123;05/06/2026;10258;20050;2;Tienda;Gopack;Normal;336;2;27;10,14;658,68;07/06/2026;12/06/2026;1
50124;12/08/2025;10236;20030;4;App;Rapidex;Normal;341;5;6;10,67;1209,76;17/08/2025;17/08/2025;0
50125;22/09/2025;10223;20017;5;App;Transnova;Normal;5;2;34;4,72;226,3;24/09/2025;24/09/2025;0
50126;01/06/2026;10167;20004;5;Tienda;Gopack;Normal;173;3;21;6,36;1869,6;04/06/2026;04/06/2026;0
50127;24/09/2025;10238;20062;5;App;Gopack;Alta;218;2;22;10,84;715,95;26/09/2025;26/09/2025;0
50128;07/01/2026;10193;20003;3;Web;Rapidex;Normal;5;2;13;6,92;766,26;09/01/2026;09/01/2026;0
50129;15/05/2026;10238;20026;2;Tienda;Gopack;Normal;410;2;1;12,61;115,62;17/05/2026;23/05/2026;1
50130;08/01/2025;10017;20009;5;Web;Blueship;Normal;271;4;16;13,69;1970,15;12/01/2025;12/01/2025;0
50131;04/03/2026;10127;20054;4;Tienda;Transnova;Normal;232;1;31;6,08;358,24;05/03/2026;05/03/2026;0
50132;09/06/2025;10040;20058;3;Web;Gopack;Normal;354;4;11;12,08;323,07;13/06/2025;13/06/2025;0
50133;29/03/2025;10189;20011;4;Web;Transnova;Normal;204;1;29;8,21;1324,8;30/03/2025;31/03/2025;1
50134;04/05/2025;10125;20074;3;Tienda;Rapidex;Normal;809;2;25;17,59;788,22;06/05/2025;10/05/2025;1
50135;09/12/2025;10012;20068;5;App;Transnova;Normal;263;3;20;10,66;646,95;12/12/2025;18/12/2025;1
50136;17/05/2026;10208;20020;5;Tienda;Transnova;Alta;373;3;5;13,37;1372,55;20/05/2026;20/05/2026;0
50137;18/02/2026;10241;20010;4;App;Rapidex;Normal;395;2;7;9,68;724,6;20/02/2026;21/02/2026;1
50138;10/05/2026;10183;20043;5;App;Transnova;Normal;937;1;8;17,49;327,55;11/05/2026;15/05/2026;1
50139;26/07/2025;10172;20024;3;App;Gopack;Normal;936;4;1;17,63;622,5;30/07/2025;01/08/2025;1
50140;14/02/2026;10160;20003;5;App;Transnova;Alta;180;5;5;11,61;1277,1;19/02/2026;19/02/2026;0
50141;21/01/2026;10165;20045;5;App;Transnova;Normal;147;2;30;7,65;1424,3;23/01/2026;23/01/2026;0
50142;12/08/2025;10074;20065;3;Web;Gopack;Normal;515;3;39;15,46;436,86;15/08/2025;17/08/2025;1
50143;24/01/2026;10187;20016;5;Tienda;Transnova;Alta;151;3;17;8,95;57,55;27/01/2026;29/01/2026;1
50144;27/08/2025;10058;20033;2;App;Blueship;Normal;380;5;0;9,65;322,42;01/09/2025;01/09/2025;0
50145;05/06/2025;10015;20048;3;App;Blueship;Normal;456;3;0;11,39;719,22;08/06/2025;08/06/2025;0
50146;23/01/2025;10098;20049;3;Tienda;Gopack;Normal;416;1;10;9,89;399,66;24/01/2025;24/01/2025;0
50147;15/02/2025;10076;20034;3;Tienda;Blueship;Normal;372;5;15;11,43;770,46;20/02/2025;20/02/2025;0
50148;17/06/2026;10133;20051;2;Tienda;Transnova;Normal;284;2;29;8,63;657,46;19/06/2026;20/06/2026;1
50149;24/04/2025;10111;20063;1;Tienda;Gopack;Normal;716;4;18;9,95;236,55;28/04/2025;30/04/2025;1
50150;28/08/2025;10075;20065;5;Web;Transnova;Normal;477;1;17;15,54;728,1;29/08/2025;29/08/2025;0
50151;09/01/2025;10122;20069;1;Web;Gopack;Alta;383;2;8;5,41;296,09;11/01/2025;16/01/2025;1
50152;19/04/2026;10185;20051;4;Tienda;Gopack;Alta;118;4;23;8,16;1314,92;23/04/2026;23/04/2026;0
50153;10/12/2025;10003;20017;2;Tienda;Rapidex;Normal;391;2;40;8,98;90,52;12/12/2025;12/12/2025;0
50154;05/07/2025;10029;20059;5;Web;Blueship;Normal;82;4;22;12,18;1163,5;09/07/2025;10/07/2025;1
50155;03/01/2025;10064;20014;1;Tienda;Gopack;Normal;606;5;0;10,35;406,94;08/01/2025;13/01/2025;1
50156;25/08/2025;10153;20056;4;Web;Blueship;Normal;247;3;18;10,64;367,88;28/08/2025;31/08/2025;1
50157;10/06/2025;10183;20002;2;Tienda;Rapidex;Normal;446;2;17;9,69;200,92;12/06/2025;14/06/2025;1
50158;11/01/2026;10110;20024;3;Tienda;Transnova;Alta;58;1;13;4,32;622,5;12/01/2026;17/01/2026;1
50159;09/11/2025;10218;20042;4;App;Rapidex;Alta;410;4;24;12,57;753,64;13/11/2025;15/11/2025;1
50160;03/08/2025;10084;20028;4;App;Blueship;Alta;133;3;0;12,17;290,4;06/08/2025;06/08/2025;0
50161;13/04/2025;10243;20039;3;App;Gopack;Normal;5;5;22;4,89;295,5;18/04/2025;18/04/2025;0
50162;09/10/2025;10227;20071;2;App;Rapidex;Normal;159;3;13;6,64;587,62;12/10/2025;12/10/2025;0
50163;05/01/2025;10238;20036;1;Tienda;Transnova;Normal;429;1;23;6,79;248,2;06/01/2025;12/01/2025;1
50164;05/10/2025;10096;20053;2;Web;Blueship;Normal;5;1;8;4,2;725,86;06/10/2025;06/10/2025;0
50165;19/04/2025;10022;20063;3;Tienda;Rapidex;Normal;156;2;25;6,45;709,65;21/04/2025;21/04/2025;0
50166;29/01/2025;10176;20072;4;App;Transnova;Normal;490;4;14;16,9;1053,72;02/02/2025;02/02/2025;0
50167;04/05/2025;10103;20035;5;App;Blueship;Alta;286;1;25;9,45;1057,35;05/05/2025;05/05/2025;0
50168;29/06/2026;10194;20024;5;Tienda;Rapidex;Alta;352;2;35;12,83;1037,5;01/07/2026;01/07/2026;0
50169;20/01/2025;10083;20020;1;Web;Rapidex;Normal;400;5;5;12,47;274,51;25/01/2025;26/01/2025;1
50170;27/02/2025;10239;20042;2;Web;Transnova;Alta;406;5;20;9,32;376,82;04/03/2025;05/03/2025;1
50171;23/10/2025;10064;20072;2;Web;Gopack;Alta;96;2;22;6,63;526,86;25/10/2025;25/10/2025;0
50172;19/09/2025;10045;20041;3;Web;Rapidex;Normal;543;5;16;14,03;186,51;24/09/2025;24/09/2025;0
50173;19/01/2025;10107;20033;4;App;Transnova;Normal;130;2;19;7,59;644,84;21/01/2025;23/01/2025;1
50174;13/04/2025;10209;20033;4;App;Transnova;Normal;206;3;8;7,65;644,84;16/04/2025;16/04/2025;0
50175;19/03/2026;10110;20020;3;Tienda;Gopack;Normal;446;2;19;8,67;823,53;21/03/2026;23/03/2026;1
50176;03/01/2025;10165;20011;3;App;Rapidex;Normal;38;3;33;5,45;993,6;06/01/2025;06/01/2025;0
50177;11/05/2026;10119;20012;3;App;Transnova;Normal;156;3;17;7,66;83,04;14/05/2026;14/05/2026;0
50178;06/05/2026;10086;20021;4;Tienda;Gopack;Alta;315;1;10;10,68;576,6;07/05/2026;10/05/2026;1
50179;05/06/2026;10127;20027;1;Tienda;Blueship;Normal;354;4;15;6,67;114,02;09/06/2026;09/06/2026;0
50180;11/11/2025;10074;20013;5;Web;Blueship;Normal;307;3;17;10,74;288,45;14/11/2025;14/11/2025;0
50181;27/02/2026;10255;20033;3;Web;Rapidex;Alta;422;2;23;13,09;483,63;01/03/2026;01/03/2026;0
50182;29/07/2025;10237;20033;3;Web;Blueship;Alta;493;5;38;11,7;483,63;03/08/2025;03/08/2025;0
50183;29/07/2025;10007;20050;5;Tienda;Rapidex;Normal;574;1;4;15,46;1646,7;30/07/2025;03/08/2025;1
50184;05/10/2025;10018;20040;1;Tienda;Rapidex;Normal;379;1;16;8,77;204,77;06/10/2025;12/10/2025;1
50185;29/03/2025;10135;20035;3;Web;Rapidex;Normal;626;1;19;10,07;634,41;30/03/2025;02/04/2025;1
50186;04/03/2026;10026;20075;5;Web;Rapidex;Normal;305;3;20;10,01;926,7;07/03/2026;07/03/2026;0
50187;15/03/2025;10116;20038;2;Tienda;Transnova;Normal;272;3;17;8,04;260,88;18/03/2025;18/03/2025;0
50188;02/01/2026;10093;20013;1;App;Blueship;Normal;5;5;17;6,72;57,69;07/01/2026;07/01/2026;0
50189;08/05/2025;10066;20029;4;App;Gopack;Normal;318;1;18;11,04;179;09/05/2025;09/05/2025;0
50190;17/02/2026;10127;20005;4;Tienda;Rapidex;Normal;565;2;12;12,61;778,4;19/02/2026;22/02/2026;1
50191;01/07/2025;10223;20028;4;App;Blueship;Alta;105;1;2;9,34;290,4;02/07/2025;06/07/2025;1
50192;16/04/2026;10226;20034;4;Tienda;Blueship;Alta;550;2;50;12,82;1027,28;18/04/2026;23/04/2026;1
50193;23/03/2025;10134;20071;5;Tienda;Rapidex;Normal;5;2;21;6,17;1469,05;25/03/2025;25/03/2025;0
50194;16/01/2025;10105;20074;4;Web;Gopack;Normal;5;4;16;8,18;1050,96;20/01/2025;20/01/2025;0
50195;23/05/2026;10184;20023;4;Tienda;Rapidex;Normal;61;2;12;10,61;1266;25/05/2026;25/05/2026;0
50196;13/02/2026;10090;20006;2;Tienda;Blueship;Normal;159;3;4;6,88;97,32;16/02/2026;16/02/2026;0
50197;22/12/2025;10028;20069;5;Tienda;Transnova;Normal;266;4;30;13,58;1480,45;26/12/2025;31/12/2025;1
50198;29/06/2026;10091;20001;2;Web;Gopack;Normal;516;2;30;13,32;412,32;01/07/2026;03/07/2026;1
50199;15/10/2025;10090;20060;2;Tienda;Gopack;Alta;140;2;19;6,31;299,1;17/10/2025;18/10/2025;1
50200;26/05/2025;10200;20003;4;Web;Blueship;Alta;492;3;6;13,42;1021,68;29/05/2025;30/05/2025;1
50201;29/06/2025;10047;20012;2;App;Gopack;Normal;283;5;27;7,89;55,36;04/07/2025;04/07/2025;0
50202;24/12/2025;10106;20068;4;Web;Transnova;Normal;22;1;23;5,67;517,56;25/12/2025;25/12/2025;0
50203;19/08/2025;10136;20048;2;Tienda;Transnova;Normal;434;3;26;8,63;479,48;22/08/2025;28/08/2025;1
50204;08/05/2025;10057;20075;3;Tienda;Gopack;Normal;378;3;30;10,72;556,02;11/05/2025;15/05/2025;1
50205;28/01/2026;10182;20057;5;Web;Gopack;Normal;239;1;13;9,74;1162,05;29/01/2026;29/01/2026;0
50206;03/03/2025;10171;20073;4;Web;Rapidex;Normal;5;3;17;5,31;1493,8;06/03/2025;12/03/2025;1
50207;06/12/2025;10047;20032;1;Tienda;Gopack;Alta;130;2;13;5,88;145,37;08/12/2025;08/12/2025;0
50208;25/03/2026;10176;20066;5;App;Transnova;Normal;343;1;8;9,78;1579,95;26/03/2026;30/03/2026;1
50209;26/09/2025;10166;20044;4;Web;Transnova;Normal;310;2;21;15,43;352,08;28/09/2025;30/09/2025;1
50210;17/05/2026;10250;20011;3;App;Rapidex;Alta;5;1;15;7;993,6;18/05/2026;24/05/2026;1
50211;10/03/2026;10081;20075;4;App;Blueship;Normal;487;2;14;12,38;741,36;12/03/2026;12/03/2026;0
50212;17/06/2026;10095;20041;1;Tienda;Blueship;Normal;175;4;7;9,18;62,17;21/06/2026;21/06/2026;0
50213;18/02/2026;10174;20022;5;App;Transnova;Normal;456;3;19;12,08;698,15;21/02/2026;27/02/2026;1
50214;07/06/2025;10240;20066;5;App;Rapidex;Normal;166;2;4;5,83;1579,95;09/06/2025;09/06/2025;0
50215;02/02/2025;10090;20036;1;Web;Gopack;Normal;201;3;20;8,28;248,2;05/02/2025;05/02/2025;0
50216;11/07/2025;10017;20075;1;Tienda;Transnova;Normal;399;2;21;10,52;185,34;13/07/2025;13/07/2025;0
50217;05/06/2026;10244;20007;4;App;Transnova;Alta;331;2;0;9,25;487,88;07/06/2026;08/06/2026;1
50218;30/05/2026;10229;20060;5;Web;Gopack;Normal;407;2;12;7,03;747,75;01/06/2026;06/06/2026;1
50219;23/03/2025;10063;20044;4;Web;Transnova;Normal;289;4;7;9,97;352,08;27/03/2025;27/03/2025;0
50220;03/05/2025;10063;20053;4;Tienda;Transnova;Normal;633;1;20;12,31;1451,72;04/05/2025;04/05/2025;0
50221;14/10/2025;10067;20021;4;Tienda;Gopack;Normal;169;5;6;13,94;576,6;19/10/2025;19/10/2025;0
50222;27/12/2025;10192;20024;4;Web;Transnova;Normal;354;4;28;8,65;830;31/12/2025;31/12/2025;0
50223;15/07/2025;10241;20021;4;Tienda;Blueship;Normal;543;5;29;12,61;576,6;20/07/2025;22/07/2025;1
50224;27/12/2025;10107;20058;5;Tienda;Gopack;Normal;5;4;25;8,49;538,45;31/12/2025;31/12/2025;0
50225;03/01/2025;10140;20062;3;Web;Rapidex;Normal;139;2;28;5,96;429,57;05/01/2025;05/01/2025;0
50226;28/09/2025;10115;20042;5;Tienda;Transnova;Normal;569;4;11;11,2;942,05;02/10/2025;08/10/2025;1
