id_cliente;cliente;provincia;segmento;antiguedad_meses;pedidos_previos;ticket_medio_historico;incidencias_previas;canal_alta
10062;Cliente 062;Bilbao;Empresa;18;9;249,95;0;Web
10063;Cliente 063;Bilbao;Particular;57;12;18;1;Comercial
10064;Cliente 064;Bilbao;Empresa;21;18;75,35;0;Tienda
10065;Cliente 065;Bilbao;Particular;5;0;30,44;0;Tienda
10066;Cliente 066;Málaga;Pyme;57;20;173,45;0;Web
10067;Cliente 067;Valencia;Particular;64;10;53,36;0;Tienda
10068;Cliente 068;Alicante;Particular;26;7;18;1;Web
10069;Cliente 069;Valencia;Pyme;22;25;162,19;0;Web
10070;Cliente 070;Bilbao;Pyme;28;24;169,17;2;Tienda
10071;Cliente 071;Alicante;Particular;59;11;84,25;0;Web
10072;Cliente 072;Sevilla;Particular;53;12;18;1;Comercial
10073;Cliente 073;Madrid;Empresa;37;29;180,35;1;Comercial
10074;Cliente 074;Alicante;Pyme;29;22;198,78;0;Tienda
10075;Cliente 075;Bilbao;Empresa;26;10;94,44;0;Web
10076;Cliente 076;Zaragoza;Particular;19;7;78,75;0;Tienda
10077;Cliente 077;Barcelona;Pyme;59;10;147,3;1;Web
10078;Cliente 078;Sevilla;Pyme;38;21;127,28;0;Tienda
10079;Cliente 079;Madrid;Empresa;6;9;191,7;2;Tienda
10080;Cliente 080;Barcelona;Pyme;22;17;109,25;1;Web
10081;Cliente 081;Valencia;Particular;25;7;159,75;1;Comercial
10082;Cliente 082;Valencia;Pyme;5;18;98,06;0;Comercial
10083;Cliente 083;Valencia;Empresa;45;14;159,37;0;Tienda
10084;Cliente 084;Alicante;Pyme;46;20;137,82;0;Tienda
10085;Cliente 085;Sevilla;Pyme;13;20;174,08;0;Web
10086;Cliente 086;Sevilla;Particular;62;11;18;0;Tienda
10087;Cliente 087;Sevilla;Particular;61;0;73,49;2;Tienda
10088;Cliente 088;Zaragoza;Pyme;65;29;107,78;1;Tienda
10089;Cliente 089;Bilbao;Empresa;54;14;;0;Tienda
10090;Cliente 090;Bilbao;Particular;45;4;45,92;0;Web
10091;Cliente 091;Valencia;Empresa;12;17;109,26;0;Comercial
10092;Cliente 092;Valencia;Particular;8;0;38,92;1;Comercial
10093;Cliente 093;Valencia;Particular;55;9;128,89;2;Tienda
10094;Cliente 094;Sevilla;Particular;8;10;90,87;1;Web
10095;Cliente 095;Bilbao;Particular;35;6;60,42;1;Tienda
10096;Cliente 096;Sevilla;Empresa;23;23;143,58;0;Web
10097;Cliente 097;Barcelona;Empresa;50;18;129,35;0;Tienda
10098;Cliente 098;Madrid;Particular;7;0;76,86;0;Web
10099;Cliente 099;Barcelona;Particular;8;6;61,96;1;Comercial
10100;Cliente 100;Barcelona;Particular;49;0;63,11;0;Comercial
10101;Cliente 101;Madrid;Pyme;62;15;198,7;1;Comercial
10102;Cliente 102;Málaga;Particular;23;21;95,31;1;Web
10103;Cliente 103;Barcelona;Particular;18;0;85,14;0;Comercial
10104;Cliente 104;Zaragoza;Pyme;58;29;90,79;2;Web
10105;Cliente 105;Málaga;Particular;18;13;18;2;Web
10106;Cliente 106;Madrid;Particular;24;0;18;0;Comercial
10107;Cliente 107;Bilbao;Empresa;22;17;126,01;0;Comercial
10108;Cliente 108;Bilbao;Pyme;61;23;174,52;0;Web
10109;Cliente 109;Zaragoza;Pyme;3;18;178,15;0;Tienda
10110;Cliente 110;Barcelona;Particular;25;5;49,46;0;Comercial
10111;Cliente 111;Barcelona;Particular;37;4;93,71;1;Tienda
10112;Cliente 112;Sevilla;Pyme;2;22;160,95;0;Tienda
10113;Cliente 113;Sevilla;Particular;5;3;126,13;0;Comercial
10114;Cliente 114;Bilbao;Particular;43;9;70,8;1;Web
10115;Cliente 115;Sevilla;Empresa;30;8;130,49;2;Tienda
10116;Cliente 116;Valencia;Empresa;16;11;149,87;0;Comercial
10117;Cliente 117;Alicante;Particular;71;0;26,12;0;Web
10118;Cliente 118;Valencia;Particular;54;18;86,5;1;Web
10119;Cliente 119;Málaga;Pyme;48;18;103,07;0;Web
10120;Cliente 120;Barcelona;Particular;66;0;115,57;2;Tienda
10121;Cliente 121;Barcelona;Particular;5;14;80,72;1;Comercial
10122;Cliente 122;Valencia;Pyme;46;1;99,75;0;Web
10123;Cliente 123;Alicante;Empresa;38;14;150,66;1;Comercial
10124;Cliente 124;Madrid;Particular;70;6;101,67;1;Web
10125;Cliente 125;Zaragoza;Particular;64;24;118,99;1;Web
10126;Cliente 126;Málaga;Pyme;72;14;129,71;0;Web
10127;Cliente 127;Málaga;Particular;7;3;18;1;Tienda
10128;Cliente 128;Barcelona;Empresa;28;20;74,21;0;Tienda
10129;Cliente 129;Sevilla;Pyme;57;17;242,78;1;Tienda
10130;Cliente 130;Valencia;Pyme;28;14;112,99;1;Comercial
10131;Cliente 131;Sevilla;Empresa;17;30;177,07;1;Comercial
10132;Cliente 132;Bilbao;Pyme;48;26;176,09;2;Web
10133;Cliente 133;Zaragoza;Particular;41;5;67,32;1;Web
10134;Cliente 134;Barcelona;Particular;64;0;59,52;0;Comercial
10135;Cliente 135;Bilbao;Particular;13;0;54,44;0;Tienda
10136;Cliente 136;Zaragoza;Particular;44;13;113,12;0;Web
10137;Cliente 137;Málaga;Particular;54;15;66,4;0;Comercial
10138;Cliente 138;Málaga;Empresa;53;13;122,02;0;Web
10139;Cliente 139;Barcelona;Pyme;28;21;151,08;0;Web
10140;Cliente 140;Sevilla;Pyme;20;18;64,6;1;Comercial
10141;Cliente 141;Sevilla;Particular;39;7;45,97;0;Tienda
10142;Cliente 142;Alicante;Particular;3;10;125,42;2;Web
10143;Cliente 143;Sevilla;Particular;26;17;38,14;0;Comercial
10144;Cliente 144;Zaragoza;Empresa;43;15;123,75;0;Web
10145;Cliente 145;Madrid;Particular;41;1;53,46;1;Tienda
10146;Cliente 146;Valencia;Pyme;68;4;129,07;1;Web
10147;Cliente 147;Alicante;Particular;22;6;57,48;0;Web
10148;Cliente 148;Sevilla;Pyme;15;28;100,97;0;Web
10149;Cliente 149;Alicante;Particular;2;5;92,65;0;Web
10150;Cliente 150;Valencia;Empresa;43;24;132,42;1;Web
10151;Cliente 151;Bilbao;Particular;36;9;26,98;1;Web
10152;Cliente 152;Málaga;Particular;56;12;87,86;0;Tienda
10153;Cliente 153;Barcelona;Empresa;32;17;137,21;1;Tienda
10154;Cliente 154;Alicante;Pyme;68;7;116,28;0;Tienda
10155;Cliente 155;Zaragoza;Empresa;1;22;149,29;1;Tienda
10156;Cliente 156;Zaragoza;Particular;56;25;130,25;0;Tienda
10157;Cliente 157;Zaragoza;Empresa;62;12;193,73;0;Web
10158;Cliente 158;Alicante;Particular;21;11;105,13;0;Tienda
10159;Cliente 159;Barcelona;Particular;42;12;18;1;Tienda
10160;Cliente 160;Barcelona;Pyme;49;22;129,31;0;Tienda
10161;Cliente 161;Valencia;Pyme;23;15;201,16;2;Web
10162;Cliente 162;Zaragoza;Pyme;68;17;101,03;0;Web
10163;Cliente 163;Barcelona;Particular;13;0;18;1;Tienda
10164;Cliente 164;Alicante;Particular;31;13;88,3;0;Comercial
10165;Cliente 165;Valencia;Particular;8;10;66,99;1;Comercial
10166;Cliente 166;Sevilla;Pyme;15;15;152,69;0;Web
10167;Cliente 167;Madrid;Empresa;34;12;175,72;2;Comercial
10168;Cliente 168;Zaragoza;Particular;70;9;167,18;1;Web
10169;Cliente 169;Sevilla;Particular;8;21;91,49;0;Comercial
10170;Cliente 170;Málaga;Pyme;31;3;101,46;0;Comercial
10171;Cliente 171;Málaga;Particular;68;2;65,47;1;Tienda
10172;Cliente 172;Barcelona;Empresa;9;23;172,9;1;Web
10173;Cliente 173;Málaga;Empresa;29;2;169,36;2;Tienda
10174;Cliente 174;Barcelona;Pyme;50;11;75,95;0;Web
10175;Cliente 175;Madrid;Empresa;43;32;210,95;0;Comercial
10176;Cliente 176;Sevilla;Empresa;63;18;195,36;0;Web
10177;Cliente 177;Sevilla;Pyme;32;17;183,46;2;Comercial
10178;Cliente 178;Barcelona;Particular;24;9;27,61;2;Tienda
10179;Cliente 179;Alicante;Particular;70;11;18;0;Tienda
10180;Cliente 180;Madrid;Particular;60;21;72,33;1;Web
10181;Cliente 181;Zaragoza;Pyme;44;4;234,05;0;Web
10182;Cliente 182;Bilbao;Empresa;7;15;123,29;2;Tienda
10183;Cliente 183;Valencia;Particular;47;0;18;1;Web
10184;Cliente 184;Madrid;Pyme;13;31;207,78;0;Comercial
10185;Cliente 185;Barcelona;Particular;6;0;18;1;Comercial
10186;Cliente 186;Valencia;Particular;71;0;75,04;1;Comercial
10187;Cliente 187;Barcelona;Particular;62;0;18;0;Tienda
10188;Cliente 188;Madrid;Pyme;34;23;166,9;1;Comercial
10189;Cliente 189;Zaragoza;Empresa;37;19;110,07;0;Tienda
10190;Cliente 190;Málaga;Pyme;51;17;69,43;2;Tienda
10191;Cliente 191;Málaga;Particular;6;10;72,88;1;Tienda
10192;Cliente 192;Alicante;Particular;72;6;18;0;Web
10193;Cliente 193;Alicante;Empresa;54;25;82,84;2;Comercial
10194;Cliente 194;Málaga;Particular;30;9;131,83;0;Web
10195;Cliente 195;Bilbao;Particular;53;9;76,76;1;Web
10196;Cliente 196;Valencia;Particular;40;7;62,5;0;Comercial
10197;Cliente 197;Sevilla;Particular;20;4;86,59;0;Web
10198;Cliente 198;Valencia;Particular;30;3;41,09;2;Web
10199;Cliente 199;Barcelona;Particular;43;1;35,87;1;Comercial
10200;Cliente 200;Madrid;Pyme;34;29;172,21;2;Tienda
10201;Cliente 201;Alicante;Pyme;2;24;78,37;1;Web
10202;Cliente 202;Málaga;Particular;55;2;53,24;1;Comercial
10203;Cliente 203;Valencia;Empresa;3;20;141,9;0;Tienda
10204;Cliente 204;Sevilla;Pyme;57;15;134,47;0;Web
10205;Cliente 205;Sevilla;Particular;38;0;95,33;1;Web
10206;Cliente 206;Sevilla;Particular;41;13;18;0;Comercial
10207;Cliente 207;Valencia;Particular;20;18;93,33;0;Comercial
10208;Cliente 208;Zaragoza;Empresa;63;26;186,86;0;Tienda
10209;Cliente 209;Bilbao;Particular;39;14;142,69;1;Tienda
10210;Cliente 210;Zaragoza;Pyme;20;27;112,34;0;Tienda
10211;Cliente 211;Zaragoza;Pyme;13;21;148,49;0;Tienda
10212;Cliente 212;Madrid;Particular;46;12;107,95;0;Comercial
10213;Cliente 213;Zaragoza;Particular;63;9;51,53;0;Comercial
10214;Cliente 214;Málaga;Particular;39;15;84,97;0;Web
10215;Cliente 215;Zaragoza;Particular;20;7;18;0;Web
10216;Cliente 216;Madrid;Particular;52;8;54,99;2;Web
10217;Cliente 217;Málaga;Particular;5;14;81,11;0;Web
10218;Cliente 218;Barcelona;Particular;1;7;39,98;0;Web
10219;Cliente 219;Alicante;Pyme;15;7;139,02;0;Tienda
10220;Cliente 220;Sevilla;Particular;25;12;104,03;1;Tienda
10221;Cliente 221;Madrid;Empresa;20;18;204,97;0;Comercial
10222;Cliente 222;Málaga;Particular;2;9;81,14;0;Comercial
10223;Cliente 223;Málaga;Particular;69;1;18;0;Comercial
10224;Cliente 224;Valencia;Pyme;61;23;123,95;0;Comercial
10225;Cliente 225;Madrid;Particular;18;10;43,59;3;Tienda
10226;Cliente 226;Zaragoza;Particular;62;2;47,48;0;Comercial
10227;Cliente 227;Valencia;Pyme;66;18;205,76;0;Comercial
10228;Cliente 228;Zaragoza;Empresa;20;26;163,25;0;Comercial
10229;Cliente 229;Valencia;Particular;41;15;57,06;0;Tienda
10230;Cliente 230;Barcelona;Particular;12;0;18;0;Comercial
10231;Cliente 231;Málaga;Pyme;61;18;208,59;1;Comercial
10232;Cliente 232;Alicante;Particular;3;14;18;0;Web
10233;Cliente 233;Valencia;Particular;2;19;18;1;Web
10234;Cliente 234;Sevilla;Empresa;18;25;194,29;0;Web
10235;Cliente 235;Málaga;Pyme;63;11;137,57;0;Comercial
10236;Cliente 236;Valencia;Pyme;38;13;97,17;1;Web
10237;Cliente 237;Valencia;Pyme;34;12;133,1;0;Comercial
10238;Cliente 238;Zaragoza;Pyme;64;18;92,64;0;Web
10239;Cliente 239;Málaga;Empresa;67;7;158,26;1;Comercial
10240;Cliente 240;Málaga;Particular;8;0;18;0;Web
10241;Cliente 241;Valencia;Pyme;44;12;151,06;3;Web
10242;Cliente 242;Málaga;Particular;15;1;18;1;Web
10243;Cliente 243;Málaga;Particular;14;14;64,29;2;Tienda
10244;Cliente 244;Alicante;Pyme;19;20;158,03;0;Tienda
10245;Cliente 245;Zaragoza;Pyme;6;23;192,84;0;Web
10246;Cliente 246;Madrid;Pyme;30;12;112,32;1;Comercial
10247;Cliente 247;Alicante;Particular;20;9;97,81;0;Comercial
10248;Cliente 248;Zaragoza;Particular;50;5;65,76;0;Tienda
10249;Cliente 249;Sevilla;Particular;65;6;64,8;2;Tienda
10250;Cliente 250;Barcelona;Particular;6;16;35,38;0;Web
10251;Cliente 251;Valencia;Pyme;18;18;216,84;0;Comercial
10252;Cliente 252;Sevilla;Empresa;4;9;144,56;0;Comercial
10253;Cliente 253;Barcelona;Pyme;33;19;228,85;0;Web
10254;Cliente 254;Alicante;Particular;31;0;52,41;0;Tienda
10255;Cliente 255;Bilbao;Pyme;55;13;103,28;0;Comercial
10256;Cliente 256;Alicante;Particular;54;10;101,81;0;Comercial
10257;Cliente 257;Málaga;Particular;61;21;39,73;0;Web
10258;Cliente 258;Málaga;Pyme;18;6;165,74;0;Tienda
10259;Cliente 259;Zaragoza;Particular;31;22;51,91;0;Web
10260;Cliente 260;Barcelona;Particular;25;17;57,85;2;Web
